name,timestamp,value
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-06T18:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-06T19:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-06T20:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-06T21:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-06T22:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-06T23:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T00:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T01:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T02:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T03:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T04:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T05:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T06:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T07:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T08:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T09:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T10:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T11:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T12:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T13:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T14:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T15:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T16:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T17:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T18:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T19:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T20:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T21:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T22:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-07T23:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-08T00:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-08T01:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-08T02:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-08T03:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-08T04:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-08T05:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-08T06:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-08T07:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-08T08:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-08T09:00:00+08:00","1.32"
"ankrETH-WETH_BalancerLP Aura 26SEP2024","2023-06-08T10:00:00+08:00","1.32"
